BLEU,ROUGE-L,BERTScore,Tweet_Length
8.15394372921771e-155,0.625,0.9644674062728882,8
8.15394372921771e-155,0.625,0.9531428813934326,8
8.286571670851008e-155,0.5714285714285714,0.9714382290840149,7
7.711523862191631e-155,0.5,0.9416178464889526,7
8.38826642100846e-155,0.5,0.9296547174453735,6
